J	A	K	L	B	D	Y	V	T	M	N	Z	W	U	O	X	C	G	E	F	H	I	P	Q	R	S
pagri	239	1	566	105	4	32	0	98	172	359	82	1	3	111	160	71	365	454	608	111	250	369	300	119	340	235
pbonn	189	1	116	81	2	29	0	45	82	162	85	1	1	68	93	36	149	122	256	66	121	124	104	40	116	96
phayl	190	1	135	92	2	33	0	48	84	150	89	1	1	80	95	20	152	124	261	69	120	139	105	47	121	98
pcale	209	1	402	110	1	32	0	76	163	295	72	1	0	64	131	32	313	400	447	90	221	266	213	83	285	228
pfung	229	1	530	130	4	47	0	96	216	357	81	1	3	99	182	48	397	428	529	104	238	385	357	116	351	261
pmega	238	1	485	95	3	33	0	114	154	298	70	0	3	81	145	30	270	409	508	93	242	286	239	112	320	223
pphem	250	1	490	110	3	35	0	116	199	352	90	0	3	87	160	32	329	401	506	96	239	287	257	90	293	241
pphex	210	1	425	112	1	34	0	84	165	309	72	1	1	105	152	21	327	371	573	91	207	277	232	99	270	212
pphym	215	1	458	133	2	34	0	85	199	334	72	1	1	82	164	57	410	424	571	98	220	311	252	91	296	257
pphyt	229	1	484	122	1	36	0	93	190	346	83	1	4	107	161	34	338	417	553	102	233	318	271	103	326	242
psart	204	1	345	95	1	32	0	80	128	258	61	0	3	69	127	20	278	349	430	87	173	248	184	68	236	192
pspre	221	1	391	117	1	34	0	97	155	311	75	0	1	99	147	34	337	404	477	89	213	287	247	92	298	209
ptera	218	1	365	120	2	32	0	77	177	285	72	1	2	68	137	74	291	369	465	87	193	236	226	82	253	211
ptere	236	1	647	125	4	36	0	114	227	395	94	1	1	73	174	39	483	529	615	98	286	439	318	141	403	304
pxeno	221	1	514	131	2	35	0	92	186	400	90	1	5	99	176	66	477	417	669	98	281	499	364	150	358	238
