PAGRI_00001	K02313
PAGRI_00002	K02338
PAGRI_00003	K02470
PAGRI_00004	K03427
PAGRI_00005	K01154
PAGRI_00006	K01153
PAGRI_00011	K07448
PAGRI_00012	K19048
PAGRI_00013	K11904
PAGRI_00018	K07126
PAGRI_00030	K13444
PAGRI_00038	K11904
PAGRI_00040	K11904
PAGRI_00041	K11904
PAGRI_00044	K11896
PAGRI_00058	K00986
PAGRI_00059	K13652
PAGRI_00060	K09959
PAGRI_00061	K00138
PAGRI_00062	K01534
PAGRI_00065	K05591
PAGRI_00066	K14287
PAGRI_00067	K10013
PAGRI_00080	K00058
PAGRI_00081	K01596
PAGRI_00083	K03169
PAGRI_00084	K03671
PAGRI_00085	K04096
PAGRI_00086	K01462
PAGRI_00087	K00604
PAGRI_00089	K03799
PAGRI_00090	K03500
PAGRI_00095	K06920
PAGRI_00096	K10026
PAGRI_00097	K01737
PAGRI_00099	K07126
PAGRI_00100	K05837
PAGRI_00101	K05515
PAGRI_00102	K03571
PAGRI_00103	K03570
PAGRI_00104	K03569
PAGRI_00105	K02435
PAGRI_00106	K02433
PAGRI_00107	K02434
PAGRI_00109	K01142
PAGRI_00111	K08218
PAGRI_00113	K00641
PAGRI_00114	K05501
PAGRI_00115	K07025
PAGRI_00116	K00930
PAGRI_00118	K15011
PAGRI_00119	K15012
PAGRI_00120	K03667
PAGRI_00121	K01419
PAGRI_00122	K06204
PAGRI_00124	K06969
PAGRI_00125	K03733
PAGRI_00126	K09921
PAGRI_00127	K01778
PAGRI_00128	K02517
PAGRI_00129	K00789
PAGRI_00131	K00477
PAGRI_00133	K19265
PAGRI_00135	K08224
PAGRI_00139	K09939
PAGRI_00140	K07497
PAGRI_00142	K07402
PAGRI_00143	K09386
PAGRI_00144	K07161
PAGRI_00146	K03519
PAGRI_00147	K03520
PAGRI_00148	K03518
PAGRI_00150	K07497
PAGRI_00151	K03294
PAGRI_00152	K07689
PAGRI_00154	K00528
PAGRI_00156	K23509
PAGRI_00157	K23509
PAGRI_00158	K10820
PAGRI_00159	K23508
PAGRI_00160	K02529
PAGRI_00161	K01785
PAGRI_00164	K01338
PAGRI_00167	K01426
PAGRI_00168	K01061
PAGRI_00169	K00459
PAGRI_00170	K01999
PAGRI_00171	K10277
PAGRI_00174	K07226
PAGRI_00175	K03746
PAGRI_00177	K03719
PAGRI_00179	K01069
PAGRI_00180	K03642
PAGRI_00181	K07056
PAGRI_00182	K07460
PAGRI_00183	K03271
PAGRI_00185	K08738
PAGRI_00188	K07302
PAGRI_00189	K07303
PAGRI_00190	K05874
PAGRI_00196	K09965
PAGRI_00197	K03406
PAGRI_00198	K09016
PAGRI_00199	K24163
PAGRI_00201	K06201
PAGRI_00202	K04090
PAGRI_00204	K19333
PAGRI_00205	K01458
PAGRI_00207	K08715
PAGRI_00210	K00847
PAGRI_00214	K14347
PAGRI_00218	K00459
PAGRI_00219	K01561
PAGRI_00220	K03719
PAGRI_00224	K06938
PAGRI_00226	K01640
PAGRI_00227	K12972
PAGRI_00229	K07002
PAGRI_00230	K02048
PAGRI_00231	K01012
PAGRI_00232	K01935
PAGRI_00233	K00652
PAGRI_00234	K00833
PAGRI_00236	K09858
PAGRI_00237	K00248
PAGRI_00239	K00626
PAGRI_00240	K01673
PAGRI_00241	K00906
PAGRI_00246	K12368
PAGRI_00248	K03673
PAGRI_00250	K01887
PAGRI_00253	K00548
PAGRI_00254	K00548
PAGRI_00258	K16171
PAGRI_00259	K01999
PAGRI_00260	K01692
PAGRI_00263	K21345
PAGRI_00265	K03525
PAGRI_00266	K03524
PAGRI_00267	K02066
PAGRI_00268	K02065
PAGRI_00269	K02067
PAGRI_00270	K18480
PAGRI_00273	K07018
PAGRI_00274	K07258
PAGRI_00275	K00824
PAGRI_00276	K09158
PAGRI_00277	K03566
PAGRI_00279	K03801
PAGRI_00280	K03644
PAGRI_00281	K15551
PAGRI_00282	K10831
PAGRI_00283	K15552
PAGRI_00285	K03324
PAGRI_00286	K03436
PAGRI_00288	K01126
PAGRI_00289	K02055
PAGRI_00290	K02054
PAGRI_00291	K02053
PAGRI_00292	K02052
PAGRI_00293	K11103
PAGRI_00294	K10125
PAGRI_00295	K10126
PAGRI_00298	K07391
PAGRI_00299	K09806
PAGRI_00300	K04752
PAGRI_00301	K03320
PAGRI_00302	K01919
PAGRI_00303	K01920
PAGRI_00304	K02793
PAGRI_00305	K02784
PAGRI_00306	K08483
PAGRI_00307	K21029
PAGRI_00308	K03797
PAGRI_00309	K01834
PAGRI_00311	K03676
PAGRI_00312	K03071
PAGRI_00313	K00057
PAGRI_00314	K23518
PAGRI_00315	K03216
PAGRI_00317	K02169
PAGRI_00319	K02275
PAGRI_00320	K02274
PAGRI_00321	K02258
PAGRI_00323	K02276
PAGRI_00325	K14998
PAGRI_00327	K02259
PAGRI_00328	K02257
PAGRI_00329	K07152
PAGRI_00331	K03406
PAGRI_00332	K02073
PAGRI_00334	K03710
PAGRI_00335	K01443
PAGRI_00336	K00820
PAGRI_00337	K23993
PAGRI_00338	K02804
PAGRI_00339	K00424
PAGRI_00340	K00426
PAGRI_00341	K00425
PAGRI_00343	K03089
PAGRI_00344	K12976
PAGRI_00346	K01649
PAGRI_00349	K16165
PAGRI_00351	K03110
PAGRI_00352	K08316
PAGRI_00353	K00954
PAGRI_00355	K00817
PAGRI_00356	K01056
PAGRI_00357	K02897
PAGRI_00358	K00948
PAGRI_00360	K00919
PAGRI_00361	K02494
PAGRI_00363	K10563
PAGRI_00364	K03575
PAGRI_00365	K07157
PAGRI_00366	K06958
PAGRI_00367	K06023
PAGRI_00368	K02806
PAGRI_00369	K05808
PAGRI_00370	K03092
PAGRI_00371	K06861
PAGRI_00372	K09774
PAGRI_00373	K11719
PAGRI_00374	K03270
PAGRI_00375	K06041
PAGRI_00376	K03455
PAGRI_00377	K00759
PAGRI_00380	K01433
PAGRI_00382	K02014
PAGRI_00384	K03701
PAGRI_00386	K03111
PAGRI_00389	K05874
PAGRI_00392	K00883
PAGRI_00393	K01631
PAGRI_00395	K10537
PAGRI_00396	K10539
PAGRI_00397	K10538
PAGRI_00398	K22185
PAGRI_00399	K13874
PAGRI_00400	K01785
PAGRI_00401	K01591
PAGRI_00402	K09705
PAGRI_00403	K03743
PAGRI_00404	K01095
PAGRI_00405	K00946
PAGRI_00406	K00029
PAGRI_00407	K01167
PAGRI_00409	K09761
PAGRI_00411	K00797
PAGRI_00412	K00615
PAGRI_00413	K00134
PAGRI_00414	K05799
PAGRI_00415	K11103
PAGRI_00416	K01477
PAGRI_00417	K01483
PAGRI_00418	K03711
PAGRI_00419	K06186
PAGRI_00420	K00215
PAGRI_00421	K03561
PAGRI_00422	K03559
PAGRI_00423	K01869
PAGRI_00424	K03643
PAGRI_00425	K02340
PAGRI_00426	K00147
PAGRI_00427	K08973
PAGRI_00428	K21449
PAGRI_00429	K19337
PAGRI_00430	K01690
PAGRI_00431	K01625
PAGRI_00432	K03299
PAGRI_00433	K00851
PAGRI_00435	K01756
PAGRI_00436	K21645
PAGRI_00437	K00261
PAGRI_00438	K10001
PAGRI_00439	K10003
PAGRI_00440	K10002
PAGRI_00441	K10004
PAGRI_00443	K01465
PAGRI_00446	K07397
PAGRI_00447	K07347
PAGRI_00449	K07679
PAGRI_00450	K07687
PAGRI_00451	K02871
PAGRI_00452	K02996
PAGRI_00453	K15724
PAGRI_00454	K09001
PAGRI_00455	K01866
PAGRI_00456	K07560
PAGRI_00457	K15634
PAGRI_00458	K03551
PAGRI_00459	K03550
PAGRI_00461	K01159
PAGRI_00462	K00602
PAGRI_00463	K03557
PAGRI_00464	K05540
PAGRI_00465	K03185
PAGRI_00466	K01262
PAGRI_00467	K00799
PAGRI_00468	K07387
PAGRI_00469	K03820
PAGRI_00470	K06189
PAGRI_00471	K07232
PAGRI_00472	K07042
PAGRI_00473	K06217
PAGRI_00474	K06168
PAGRI_00477	K19577
PAGRI_00479	K02858
PAGRI_00481	K02440
PAGRI_00482	K00864
PAGRI_00483	K00111
PAGRI_00487	K02444
PAGRI_00488	K00681
PAGRI_00489	K03762
PAGRI_00492	K11927
PAGRI_00493	K11068
PAGRI_00496	K07156
PAGRI_00497	K07245
PAGRI_00500	K08194
PAGRI_00501	K01684
PAGRI_00503	K03446
PAGRI_00505	K21703
PAGRI_00508	K01114
PAGRI_00512	K07649
PAGRI_00513	K02483
PAGRI_00514	K03553
PAGRI_00515	K03565
PAGRI_00517	K01903
PAGRI_00518	K01902
PAGRI_00520	K02650
PAGRI_00522	K03637
PAGRI_00523	K01423
PAGRI_00525	K07019
PAGRI_00527	K02843
PAGRI_00529	K00826
PAGRI_00532	K00927
PAGRI_00533	K00873
PAGRI_00534	K01624
PAGRI_00535	K01923
PAGRI_00536	K01588
PAGRI_00537	K01589
PAGRI_00538	K07566
PAGRI_00541	K07259
PAGRI_00542	K07666
PAGRI_00543	K02484
PAGRI_00544	K04771
PAGRI_00547	K09386
PAGRI_00550	K03577
PAGRI_00551	K03585
PAGRI_00552	K18138
PAGRI_00553	K18139
PAGRI_00554	K24206
PAGRI_00555	K00854
PAGRI_00556	K00121
PAGRI_00557	K01070
PAGRI_00558	K02075
PAGRI_00559	K02074
PAGRI_00560	K02077
PAGRI_00562	K10227
PAGRI_00563	K10228
PAGRI_00564	K10229
PAGRI_00566	K10111
PAGRI_00568	K00854
PAGRI_00569	K00007
PAGRI_00571	K10439
PAGRI_00572	K10441
PAGRI_00573	K10440
PAGRI_00574	K23271
PAGRI_00575	K00854
PAGRI_00576	K03331
PAGRI_00578	K14645
PAGRI_00581	K00453
PAGRI_00582	K01556
PAGRI_00583	K07130
PAGRI_00584	K03719
PAGRI_00585	K23470
PAGRI_00586	K07304
PAGRI_00588	K00574
PAGRI_00589	K00275
PAGRI_00591	K22132
PAGRI_00592	K05838
PAGRI_00594	K15268
PAGRI_00595	K01448
PAGRI_00596	K06925
PAGRI_00597	K18979
PAGRI_00598	K00567
PAGRI_00599	K04763
PAGRI_00600	K01897
PAGRI_00602	K08591
PAGRI_00603	K09767
PAGRI_00604	K00075
PAGRI_00605	K01940
PAGRI_00606	K00611
PAGRI_00608	K02968
PAGRI_00609	K03980
PAGRI_00612	K00939
PAGRI_00613	K00979
PAGRI_00614	K09791
PAGRI_00615	K00912
PAGRI_00617	K03601
PAGRI_00618	K04564
PAGRI_00622	K19713
PAGRI_00623	K09667
PAGRI_00624	K07789
PAGRI_00629	K01358
PAGRI_00635	K01647
PAGRI_00637	K03710
PAGRI_00641	K02031
PAGRI_00641	K02032
PAGRI_00642	K02034
PAGRI_00643	K02033
PAGRI_00644	K02035
PAGRI_00646	K01674
PAGRI_00647	K02355
PAGRI_00648	K09005
PAGRI_00649	K06181
PAGRI_00650	K00031
PAGRI_00651	K03704
PAGRI_00652	K06891
PAGRI_00653	K03694
PAGRI_00654	K01520
PAGRI_00656	K13038
PAGRI_00657	K03101
PAGRI_00658	K01870
PAGRI_00659	K11753
PAGRI_00660	K11175
PAGRI_00661	K03500
PAGRI_00663	K00507
PAGRI_00664	K03517
PAGRI_00665	K00767
PAGRI_00666	K00278
PAGRI_00667	K02913
PAGRI_00668	K02902
PAGRI_00669	K03630
PAGRI_00670	K03774
PAGRI_00671	K03527
PAGRI_00672	K01999
PAGRI_00673	K01997
PAGRI_00674	K01998
PAGRI_00675	K01995
PAGRI_00676	K01996
PAGRI_00678	K00821
PAGRI_00679	K00523
PAGRI_00682	K06183
PAGRI_00685	K13051
PAGRI_00686	K13892
PAGRI_00687	K13889
PAGRI_00688	K13890
PAGRI_00689	K13891
PAGRI_00690	K01266
PAGRI_00691	K16203
PAGRI_00692	K00156
PAGRI_00694	K11734
PAGRI_00696	K02495
PAGRI_00697	K06940
PAGRI_00699	K06153
PAGRI_00700	K03439
PAGRI_00724	K07454
PAGRI_00741	K19166
PAGRI_00742	K18831
PAGRI_00744	K02221
PAGRI_00749	K22589
PAGRI_00750	K06895
PAGRI_00751	K03182
PAGRI_00754	K03625
PAGRI_00755	K00794
PAGRI_00756	K14652
PAGRI_00758	K19200
PAGRI_00760	K03762
PAGRI_00761	K16135
PAGRI_00763	K11103
PAGRI_00766	K03929
PAGRI_00767	K00793
PAGRI_00768	K11752
PAGRI_00769	K01845
PAGRI_00772	K07552
PAGRI_00778	K14060
PAGRI_00781	K07733
PAGRI_00789	K06919
PAGRI_00793	K02428
PAGRI_00794	K00989
PAGRI_00796	K00942
PAGRI_00797	K03060
PAGRI_00798	K01139
PAGRI_00802	K04760
PAGRI_00806	K02342
PAGRI_00807	K04093
PAGRI_00813	K03841
PAGRI_00814	K21498
PAGRI_00815	K07334
PAGRI_00816	K01256
PAGRI_00820	K02078
PAGRI_00821	K02078
PAGRI_00825	K01745
PAGRI_00826	K07107
PAGRI_00829	K00647
PAGRI_00831	K00059
PAGRI_00832	K09458
PAGRI_00833	K00647
PAGRI_00838	K01487
PAGRI_00839	K21053
PAGRI_00840	K07402
PAGRI_00841	K13482
PAGRI_00842	K13481
PAGRI_00843	K03611
PAGRI_00844	K02433
PAGRI_00848	K03455
PAGRI_00849	K07010
PAGRI_00853	K03288
PAGRI_00855	K21903
PAGRI_00856	K16264
PAGRI_00858	K00126
PAGRI_00859	K00123
PAGRI_00860	K00124
PAGRI_00861	K00127
PAGRI_00865	K22292
PAGRI_00866	K00568
PAGRI_00867	K03286
PAGRI_00868	K02469
PAGRI_00869	K09924
PAGRI_00870	K00831
PAGRI_00871	K14170
PAGRI_00872	K00817
PAGRI_00873	K04517
PAGRI_00874	K00800
PAGRI_00875	K00945
PAGRI_00876	K02945
PAGRI_00877	K05788
PAGRI_00878	K08992
PAGRI_00879	K19804
PAGRI_00880	K00012
PAGRI_00881	K21344
PAGRI_00882	K03274
PAGRI_00883	K02237
PAGRI_00884	K12339
PAGRI_00885	K08305
PAGRI_00888	K01054
PAGRI_00889	K02071
PAGRI_00890	K02072
PAGRI_00891	K02073
PAGRI_00892	K03521
PAGRI_00893	K03522
PAGRI_00894	K20035
PAGRI_00895	K00285
PAGRI_00896	K03719
PAGRI_00900	K02959
PAGRI_00901	K02860
