group_1344	PAGRI_00913	PBONN_01024	PHAYL_01055	PCALE_02543	PFUNG_02465	PMEGA_05499	PPHEM_04003	PPHEX_02753	PPHYM_00796	PPHYT_02970	PSART_01157	PSPRE_00280	PTERA_02676	PTERE_00825	PXENO_03188
pcm	PAGRI_03357	PBONN_02223	PHAYL_01246	PCALE_00767	PFUNG_00772	PMEGA_03622	PPHEM_02961	PPHEX_00788	PPHYM_02306	PPHYT_00949	PSART_02118	PSPRE_01900	PTERA_00697	PTERE_02343	PXENO_01373
group_852	PAGRI_02357	PBONN_01448	PHAYL_01944	PCALE_01429	PFUNG_03788	PMEGA_04322	PPHEM_07373	PPHEX_01850	PPHYM_01680	PPHYT_01765	PSART_02919	PSPRE_01257	PTERA_01487	PTERE_01777	PXENO_00169
group_1557	PAGRI_03753	PBONN_00638	PHAYL_00656	PCALE_00376	PFUNG_01070	PMEGA_06073	PPHEM_04790	PPHEX_00344	PPHYM_00376	PPHYT_00636	PSART_00698	PSPRE_02211	PTERA_00414	PTERE_00368	PXENO_01736
group_1984	PAGRI_02325	PBONN_01475	PHAYL_01914	PCALE_01457	PFUNG_03362	PMEGA_04350	PPHEM_05700	PPHEX_01819	PPHYM_00943	PPHYT_01795	PSART_02883	PSPRE_01224	PTERA_01516	PTERE_01741	PXENO_00095
group_361	PAGRI_03243	PBONN_01040	PHAYL_01062	PCALE_00860	PFUNG_00666	PMEGA_03689	PPHEM_02895	PPHEX_00881	PPHYM_02241	PPHYT_01058	PSART_02056	PSPRE_01807	PTERA_00800	PTERE_02274	PXENO_01114
group_604	PAGRI_00464	PBONN_02500	PHAYL_02705	PCALE_02909	PFUNG_02081	PMEGA_03139	PPHEM_05827	PPHEX_03117	PPHYM_02611	PPHYT_03356	PSART_02632	PSPRE_03176	PTERA_03042	PTERE_02632	PXENO_02795
yaeQ	PAGRI_04281	PBONN_02828	PHAYL_02965	PCALE_03455	PFUNG_01490	PMEGA_06659	PPHEM_00529	PPHEX_03701	PPHYM_03170	PPHYT_03985	PSART_04107	PSPRE_02592	PTERA_03643	PTERE_03207	PXENO_02159
group_397	PAGRI_03723	PBONN_00660	PHAYL_00679	PCALE_00401	PFUNG_01040	PMEGA_06051	PPHEM_04822	PPHEX_00368	PPHYM_00399	PPHYT_00662	PSART_00724	PSPRE_02187	PTERA_00439	PTERE_00392	PXENO_01709
soxA_1	PAGRI_06101	PBONN_03293	PHAYL_03372	PCALE_04076	PFUNG_04043	PMEGA_02044	PPHEM_03345	PPHEX_05964	PPHYM_03411	PPHYT_05086	PSART_01461	PSPRE_05508	PTERA_06324	PTERE_04241	PXENO_06914
group_668	PAGRI_00795	PBONN_00929	PHAYL_00953	PCALE_02667	PFUNG_02345	PMEGA_05619	PPHEM_04100	PPHEX_02875	PPHYM_00679	PPHYT_03097	PSART_01037	PSPRE_00171	PTERA_02797	PTERE_00701	PXENO_03072
potH_1	PAGRI_01809	PBONN_01666	PHAYL_01637	PCALE_01847	PFUNG_03266	PMEGA_00266	PPHEM_05295	PPHEX_01493	PPHYM_01311	PPHYT_02307	PSART_00345	PSPRE_00792	PTERA_01955	PTERE_01326	PXENO_04115
cobT	PAGRI_03322	PBONN_02194	PHAYL_01274	PCALE_00803	PFUNG_00734	PMEGA_03655	PPHEM_02925	PPHEX_00821	PPHYM_02271	PPHYT_00987	PSART_02085	PSPRE_01866	PTERA_00736	PTERE_02307	PXENO_01205
group_3646	PAGRI_03941	PBONN_00520	PHAYL_00534	PCALE_03154	PFUNG_01822	PMEGA_06270	PPHEM_07047	PPHEX_03368	PPHYM_02858	PPHYT_03616	PSART_03891	PSPRE_02909	PTERA_03289	PTERE_02882	PXENO_02541
group_254	PAGRI_00987	PBONN_02118	PHAYL_01203	PCALE_02476	PFUNG_02541	PMEGA_05422	PPHEM_03931	PPHEX_02686	PPHYM_00866	PPHYT_02895	PSART_01232	PSPRE_00353	PTERA_02610	PTERE_00901	PXENO_03263
hrcA	PAGRI_03624	PBONN_02447	PHAYL_02652	PCALE_00460	PFUNG_00970	PMEGA_03187	PPHEM_05777	PPHEX_00428	PPHYM_02563	PPHYT_00723	PSART_02569	PSPRE_02125	PTERA_00503	PTERE_02582	PXENO_01648
