PTERE_00001	K02313
PTERE_00002	K02338
PTERE_00003	K02470
PTERE_00005	K13652
PTERE_00006	K16238
PTERE_00007	K03735
PTERE_00008	K03736
PTERE_00009	K09959
PTERE_00010	K00138
PTERE_00011	K04033
PTERE_00013	K05591
PTERE_00014	K14287
PTERE_00015	K11206
PTERE_00016	K10013
PTERE_00024	K00058
PTERE_00025	K01596
PTERE_00027	K03169
PTERE_00028	K03671
PTERE_00029	K04096
PTERE_00030	K01462
PTERE_00031	K00604
PTERE_00033	K03799
PTERE_00034	K03500
PTERE_00039	K06920
PTERE_00040	K10026
PTERE_00041	K01737
PTERE_00043	K01630
PTERE_00044	K07126
PTERE_00045	K05837
PTERE_00046	K05515
PTERE_00047	K03571
PTERE_00048	K03570
PTERE_00049	K03569
PTERE_00050	K02435
PTERE_00051	K02433
PTERE_00052	K02434
PTERE_00054	K01142
PTERE_00056	K08218
PTERE_00058	K00641
PTERE_00059	K05501
PTERE_00060	K07025
PTERE_00061	K00930
PTERE_00063	K15011
PTERE_00064	K15012
PTERE_00065	K03667
PTERE_00066	K01419
PTERE_00067	K06204
PTERE_00069	K06969
PTERE_00070	K03733
PTERE_00071	K09921
PTERE_00072	K01778
PTERE_00073	K02517
PTERE_00074	K00789
PTERE_00077	K00477
PTERE_00079	K19265
PTERE_00081	K08224
PTERE_00088	K09939
PTERE_00091	K07402
PTERE_00092	K09386
PTERE_00093	K07161
PTERE_00095	K03519
PTERE_00096	K03520
PTERE_00097	K03518
PTERE_00098	K03294
PTERE_00099	K07689
PTERE_00101	K00528
PTERE_00102	K05835
PTERE_00103	K23509
PTERE_00104	K23509
PTERE_00105	K10820
PTERE_00106	K23508
PTERE_00107	K02529
PTERE_00108	K01785
PTERE_00111	K01338
PTERE_00115	K03762
PTERE_00116	K01426
PTERE_00117	K01061
PTERE_00118	K01999
PTERE_00119	K10277
PTERE_00121	K07226
PTERE_00122	K03746
PTERE_00124	K03719
PTERE_00126	K01069
PTERE_00127	K03642
PTERE_00128	K07056
PTERE_00129	K07460
PTERE_00130	K03271
PTERE_00132	K08738
PTERE_00141	K00558
