subject	IS family	chr	start	end	genome
IS1071	Tn3	NZ_CP008761.1	1281025	1284228	xeno
IS1071	Tn3	NZ_CP008761.1	1302301	1305504	xeno
IS1090	IS256	NZ_QPER01000001.1	1169581	1170910	agri
IS1090	IS256	NZ_QPER01000001.1	2029128	2030457	agri
IS1090	IS256	NZ_QPER01000001.1	2043197	2044526	agri
IS1090	IS256	NZ_QPER01000001.1	3214259	3215588	agri
IS1090	IS256	NZ_QPER01000002.1	194689	196018	agri
IS1090	IS256	NZ_QPER01000002.1	815612	816941	agri
IS1356	IS256	NZ_CP008761.1	700291	701266	xeno
IS1413	IS256	NZ_CP008760.1	2178029	2179458	xeno
IS1413	IS256	NZ_CP008762.1	1348024	1349454	xeno
IS407	IS3	NC_010625.1	689908	690797	phym
ISAzo27	IS5	NZ_CP017565.1	11443	12303	spre
ISBcen18	IS256	NZ_CP010026.1	1515608	1516918	fung
ISBcen18	IS256	NZ_CP010026.1	1926744	1928054	fung
ISBcen18	IS256	NZ_CP010027.1	531226	532536	fung
ISBcen18	IS256	NZ_CP010027.1	3108355	3109665	fung
ISBcen19	IS66	NZ_CP008760.1	127972	129911	xeno
ISBcen19	IS66	NZ_CP008760.1	1590744	1592683	xeno
ISBcen19	IS66	NZ_CP008762.1	3086212	3088151	xeno
ISBcen23	IS3	NZ_CP008760.1	328347	329541	xeno
ISBcen24	IS481	NZ_CP017565.1	274215	275328	spre
ISBcen27	ISNCY	NZ_CP026111.1	1754078	1755477	tere
ISBcen27	ISNCY	NZ_CP026113.1	1184489	1185888	tere
ISBcen4	IS110	NZ_CP008760.1	1557817	1559164	xeno
ISBfun1	IS110	NZ_CP008761.1	562971	564436	xeno
ISBfun1	IS110	NC_010623.1	2043527	2044990	phym
ISBfun2	IS110	NZ_CP026113.1	1245983	1247070	tere
ISBfun2	IS110	NZ_CP008761.1	565567	566691	xeno
ISBfun3	IS1182	NZ_CP010025.1	291322	292949	fung
ISBfun3	IS1182	NZ_CP008760.1	2340021	2341647	xeno
ISBfun3	IS1182	NZ_CP008760.1	3471088	3472714	xeno
ISBfun4	IS701	NZ_CP008761.1	350696	352159	xeno
ISBfun4	IS701	NC_010625.1	1403991	1405393	phym
ISBma3	IS110	NZ_CP008760.1	1259994	1261416	xeno
ISBma3	IS110	NZ_CP008762.1	726392	727814	xeno
ISBma3	IS110	NZ_CP008762.1	1198960	1200382	xeno
ISBma3	IS110	NC_010627.1	559122	560496	phym
ISBmu21	IS6	NZ_QPER01000002.1	3335526	3336289	agri
ISBmu27	IS481	NZ_CP026112.1	801073	802202	tere
ISBmu27	IS481	NZ_CP026112.1	2810526	2811655	tere
ISBmu27	IS481	NZ_CP026112.1	2876144	2877273	tere
ISBmu27	IS481	NZ_CP026113.1	1781025	1782154	tere
ISBmu27	IS481	NZ_CP026113.1	2428906	2430035	tere
ISBmu3	IS21	NZ_CP010024.1	140469	143144	fung
ISBmu3	IS21	NZ_CP010025.1	196375	199050	fung
ISBmu3	IS21	NZ_CP010026.1	668840	671515	fung
ISBmu3	IS21	NZ_CP008760.1	4310308	4312320	xeno
ISBmu7	IS21	NZ_CP008760.1	148898	151780	xeno
ISBmu7	IS21	NZ_CP008760.1	262914	265795	xeno
ISBmu7	IS21	NZ_CP008760.1	391137	394019	xeno
ISBmu7	IS21	NZ_CP008760.1	913027	915909	xeno
ISBmu7	IS21	NZ_CP008760.1	1550544	1553426	xeno
ISBmu7	IS21	NZ_CP008762.1	1154412	1157294	xeno
ISBp1	IS3	NZ_QPEQ01000001.1	1243169	1244320	bonn
ISBp1	IS3	NZ_QPEQ01000001.1	3117103	3118251	bonn
ISBph1	IS3	NZ_CP008761.1	362310	363412	xeno
ISBph1	IS3	NC_010623.1	1970295	1971584	phym
ISBph1	IS3	NC_010623.1	2049019	2050308	phym
ISBph2	IS5	NC_010623.1	2045602	2046936	phym
ISBph2	IS5	NC_010625.1	687016	688350	phym
ISBph2	IS5	NC_010625.1	1402652	1403986	phym
ISBph3	IS5	NZ_CP017565.1	250493	251571	spre
ISBph3	IS5	NC_010623.1	148099	149443	phym
ISBph3	IS5	NC_010623.1	1964825	1965904	phym
ISBph3	IS5	NZ_CP024941.1	306880	307959	tera
ISBph3	IS5	NZ_CP024941.1	1812230	1813309	tera
ISBph3	IS5	NZ_CP024941.1	2536424	2537503	tera
ISBph3	IS5	NZ_CP024941.1	2543981	2545060	tera
ISBph3	IS5	NZ_CP024942.1	426016	427095	tera
ISBph3	IS5	NZ_CP024942.1	630024	631103	tera
ISBph3	IS5	NZ_CP024942.1	734476	735555	tera
ISBph3	IS5	NZ_CP024942.1	2391286	2392365	tera
ISBph3	IS5	NZ_CP024942.1	2782210	2783289	tera
ISBph3	IS5	NZ_CP024942.1	2802025	2803104	tera
ISBt3	IS3	NZ_CP010026.1	677369	678687	fung
ISBt3	IS3	NZ_CP010026.1	3816466	3817784	fung
ISBt3	IS3	NZ_CP010025.1	133753	134798	fung
ISBt3	IS3	NZ_CP010025.1	253263	254308	fung
ISBt3	IS3	NZ_CP010026.1	657485	658530	fung
ISBt3	IS3	NC_010623.1	2038159	2039477	phym
ISBt3	IS3	NZ_CP024941.1	1600927	1602206	tera
ISBt3	IS3	NZ_CP024942.1	257963	258901	tera
ISBte2	ISKra4	NZ_CP026114.1	523490	524999	tere
ISBte2	ISKra4	NZ_CP026114.1	558734	560184	tere
ISBuph1	IS5	NZ_QPEQ01000002.1	712189	713112	bonn
ISBuph1	IS5	NZ_QPEQ01000001.1	1917141	1917910	bonn
ISBuph1	IS5	NZ_QPEQ01000001.1	90873	91511	bonn
ISBuph1	IS5	NZ_CP008760.1	188723	189628	xeno
ISBuph1	IS5	NZ_CP008760.1	1292906	1293812	xeno
ISBuph1	IS5	NZ_CP008760.1	2154110	2155016	xeno
ISBuph1	IS5	NZ_CP008760.1	2338230	2339136	xeno
ISBuph1	IS5	NZ_CP008760.1	2474902	2475808	xeno
ISBuph1	IS5	NZ_CP008760.1	2978170	2979076	xeno
ISBuph1	IS5	NZ_CP008762.1	662746	663652	xeno
ISBuph1	IS5	NZ_CP024941.1	622483	623392	tera
ISBuph1	IS5	NZ_CP024941.1	685755	686664	tera
ISBuph1	IS5	NZ_CP024942.1	264327	265236	tera
ISBuph1	IS5	NZ_CP024942.1	2006664	2007573	tera
ISBuph1	IS5	NZ_CP024942.1	2975763	2976672	tera
ISBusp2	IS5	NZ_CP024942.1	1868231	1869391	tera
ISButh3	IS256	NZ_CP008761.1	749219	750512	xeno
ISButh4	IS5	NZ_CP008760.1	1565128	1566370	xeno
ISBvi2	IS5	NC_010623.1	1997431	1998603	phym
ISBxe1	IS3	NZ_CP008760.1	253455	254736	xeno
ISBxe1	IS3	NZ_CP008760.1	422130	423410	xeno
ISBxe1	IS3	NZ_CP008760.1	1351890	1353171	xeno
ISBxe1	IS3	NZ_CP008760.1	4361934	4363214	xeno
ISBxe1	IS3	NZ_CP008760.1	4616289	4617570	xeno
ISBxe1	IS3	NZ_CP008762.1	1161177	1162458	xeno
ISBxe1	IS3	NZ_CP008762.1	1724205	1725486	xeno
ISBxe2	IS3	NZ_CP008760.1	1563841	1565127	xeno
ISBxe2	IS3	NZ_CP008760.1	151781	152737	xeno
ISBxe3	IS481	NZ_CP010026.1	213251	214529	fung
ISBxe3	IS481	NZ_CP010026.1	3097363	3098641	fung
ISBxe3	IS481	NZ_CP010026.1	3651350	3652628	fung
ISBxe3	IS481	NZ_CP010026.1	4191476	4192754	fung
ISBxe3	IS481	NZ_CP010027.1	3179323	3180601	fung
ISBxe3	IS481	NZ_CP008760.1	1431800	1433078	xeno
ISBxe3	IS481	NZ_CP008760.1	2111908	2113185	xeno
ISBxe3	IS481	NZ_CP008760.1	2209705	2210983	xeno
ISBxe3	IS481	NZ_CP008760.1	2211692	2212970	xeno
ISBxe3	IS481	NZ_CP008760.1	2956892	2958170	xeno
ISBxe4	IS481	NZ_CP008761.1	244515	245601	xeno
ISBxe4	IS481	NZ_CP008761.1	1040612	1041698	xeno
ISBxe4	IS481	NZ_CP008761.1	349605	350690	xeno
ISBxe5	IS5	NZ_CP008760.1	4322174	4323508	xeno
ISJp4	IS5	NZ_CP010025.1	352797	353686	fung
ISJp4	IS5	NC_010627.1	449091	449767	phym
ISPa37	IS30	NZ_QPES01000001.1	458638	459894	hayl
ISPath1	IS110	NZ_CP017562.1	216510	217477	spre
ISPpu12	ISL3	NZ_CP008760.1	620138	623512	xeno
ISPpu12	ISL3	NZ_CP008761.1	654862	658233	xeno
ISPpu12	ISL3	NZ_CP008760.1	898920	902290	xeno
ISPpu12	ISL3	NZ_CP008760.1	3568386	3571757	xeno
ISPpu12	ISL3	NZ_CP008760.1	3579783	3583153	xeno
ISPpu12	ISL3	NZ_CP008761.1	153813	157184	xeno
ISPpu12	ISL3	NZ_CP008762.1	900001	903370	xeno
ISPpu12	ISL3	NZ_CP008762.1	2795844	2799215	xeno
ISRso19	IS21	NZ_CP017565.1	181978	183631	spre
ISRso5	IS630	NZ_CP010025.1	28485	29490	fung
ISRso5	IS630	NZ_CP010026.1	666981	667986	fung
ISRso5	IS630	NC_010623.1	103465	104579	phym
ISRso5	IS630	NC_010623.1	1698144	1699258	phym
ISRso5	IS630	NC_010623.1	2684502	2685616	phym
ISRso9	IS5	NZ_CP008761.1	1043069	1044145	xeno
