aat	H0	2.216	0.119	NA	-5878.263
accA	H0	2.837	0.033	NA	-5076.608
accB	H0	1.770	0.102	NA	-3043.833
accC	H0	2.496	0.019	NA	-6262.749
accD	H0	3.084	0.031	NA	-4708.280
aceA	H0	1.933	0.045	NA	-7594.515
aceB	H0	2.324	0.077	NA	-10840.125
aceE_1	H1a	2.342	0.058	0.039	-14072.318
aceK	H1a	2.075	0.097	0.076	-13229.073
acnA_2	H1b	2.510	0.055	0.026	-14107.159
acoE_1	H1a	2.182	0.088	0.056	-13484.204
acpD	H0	2.263	0.106	NA	-4437.400
acpP_2	H0	1.439	0.005	NA	-776.662
acpS	H0	2.829	0.074	NA	-3158.048
act	H0	1.910	0.096	NA	-5125.446
add	H0	2.077	0.079	NA	-7431.029
adhC	H0	1.763	0.081	NA	-8759.865
adk	H0	2.071	0.095	NA	-4835.033
ahcY	H1c	2.174	0.062	0.036	-7631.571
aidB	H0	2.184	0.114	NA	-14334.286
alaS	H0	2.459	0.049	NA	-15636.156
alr	H0	2.311	0.075	NA	-8427.540
amgK	H0	2.090	0.133	NA	-8431.287
amn	H1c	2.483	0.045	0.074	-10110.504
ampD	H0	1.829	0.164	NA	-5836.428
ampG	H0	2.347	0.079	NA	-10566.250
amtB	H1a	2.512	0.111	0.076	-8757.197
anmK	H0	2.376	0.099	NA	-10569.181
ansB	H0	2.190	0.124	NA	-9484.398
apaG	H0	2.172	0.058	NA	-2647.666
apaH	H1a	1.863	0.181	0.127	-7162.858
aqpZ_2	H1b	2.230	0.092	0.048	-6388.996
argB	H0	2.903	0.018	NA	-4194.546
argC_1	H0	2.200	0.078	NA	-7127.956
argD_1	H0	2.338	0.064	NA	-7622.785
argD_2	H0	2.027	0.104	NA	-9907.613
argF	H1c	1.731	0.019	0.147	-4112.920
argH	H0	2.017	0.049	NA	-8766.081
argJ	H0	2.318	0.068	NA	-8518.014
argS	H0	2.087	0.081	NA	-12648.084
argT_3	H1b	1.921	0.131	0.070	-6118.386
arnD	H0	2.688	0.088	NA	-6527.290
arnF	H0	2.034	0.090	NA	-2761.758
arnT_1	H1b	1.928	0.140	0.097	-14299.009
aroA_tyrA	H1a	2.431	0.088	0.060	-9579.181
aroB	H0	2.462	0.069	NA	-7891.533
aroC	H1c	2.898	0.041	0.069	-7038.970
aroG_1	H0	2.199	0.044	NA	-6433.463
aroK_2	H0	2.091	0.101	NA	-3740.534
aroQ1	H1b	1.978	0.067	0.123	-2683.253
asd	H1b	2.601	0.057	0.031	-5770.997
ask	H0	2.451	0.043	NA	-6369.624
aspS	H1b	2.959	0.063	0.035	-9341.539
astB	H0	2.116	0.087	NA	-10145.606
astD	H1c	2.233	0.088	0.164	-11933.114
atpA	H1a	3.021	0.062	0.025	-6291.060
atpB	H0	2.615	0.084	NA	-4371.015
atpC	H0	3.752	0.030	NA	-2054.823
atpD	H1b	2.294	0.050	0.010	-5419.543
atpE	H0	4.507	0.012	NA	-642.169
atpF	H0	2.087	0.063	NA	-2197.439
atpG	H1b	2.388	0.072	0.041	-4113.752
atpH	H0	4.728	0.125	NA	-2364.290
auaH_2	H1c	2.145	0.060	0.096	-7094.300
baiN	H0	2.022	0.191	NA	-14333.545
bamB	H1b	2.226	0.114	0.066	-9524.369
bapC	H1a	2.141	0.121	0.069	-3741.820
bceT	H1b	1.804	0.137	0.037	-8518.042
bepA_2	H1c	2.102	0.122	0.179	-16180.207
bfr	H0	2.047	0.085	NA	-3489.160
bioA	H1b	2.159	0.095	0.114	-11071.421
bioB	H1c	2.125	0.079	0.119	-7671.459
bioD	H0	2.100	0.189	NA	-7545.053
bioF	H1a	2.304	0.149	0.093	-10190.161
bolA	H0	1.966	0.181	NA	-2424.941
bpeA_1	H1b	1.861	0.159	0.103	-10479.883
bpeB_1	H1b	2.236	0.073	0.052	-19111.198
