PBONN_00001	K02313
PBONN_00002	K02338
PBONN_00003	K02470
PBONN_00009	K18030
PBONN_00010	K18030
PBONN_00011	K18029
PBONN_00012	K00459
PBONN_00013	K01561
PBONN_00016	K03169
PBONN_00017	K03671
PBONN_00018	K04096
PBONN_00019	K01462
PBONN_00020	K00604
PBONN_00022	K03799
PBONN_00023	K03500
PBONN_00028	K06920
PBONN_00029	K10026
PBONN_00030	K01737
PBONN_00031	K05837
PBONN_00032	K05515
PBONN_00033	K03571
PBONN_00034	K03570
PBONN_00035	K03569
PBONN_00036	K02435
PBONN_00037	K02433
PBONN_00038	K02434
PBONN_00039	K01142
PBONN_00040	K08218
PBONN_00042	K00641
PBONN_00044	K05501
PBONN_00045	K07025
PBONN_00046	K00930
PBONN_00048	K15011
PBONN_00049	K15012
PBONN_00050	K03667
PBONN_00051	K01419
PBONN_00052	K06204
PBONN_00054	K06969
PBONN_00055	K03733
PBONN_00056	K09921
PBONN_00057	K01778
PBONN_00058	K02517
PBONN_00059	K00789
PBONN_00062	K00477
PBONN_00069	K07402
PBONN_00070	K03294
PBONN_00071	K07689
PBONN_00076	K00528
PBONN_00079	K01338
PBONN_00085	K00459
PBONN_00086	K01999
PBONN_00087	K10277
PBONN_00091	K07226
PBONN_00092	K03746
PBONN_00095	K01069
PBONN_00096	K03642
PBONN_00097	K07056
PBONN_00098	K07460
PBONN_00099	K03271
PBONN_00101	K08738
PBONN_00104	K07497
PBONN_00107	K11905
PBONN_00108	K11903
PBONN_00110	K11892
PBONN_00111	K11893
PBONN_00112	K11900
PBONN_00113	K11901
PBONN_00114	K11904
PBONN_00120	K11891
PBONN_00121	K11910
PBONN_00122	K11896
PBONN_00123	K11895
PBONN_00124	K11906
PBONN_00126	K01126
PBONN_00127	K06020
PBONN_00128	K01262
PBONN_00131	K02492
PBONN_00132	K02835
PBONN_00133	K02493
PBONN_00134	K07390
PBONN_00135	K03186
PBONN_00136	K15777
PBONN_00138	K03704
PBONN_00139	K04046
PBONN_00144	K09941
PBONN_00152	K14347
PBONN_00154	K00847
PBONN_00155	K07063
PBONN_00157	K01501
PBONN_00159	K23356
PBONN_00160	K06201
PBONN_00162	K24163
PBONN_00163	K09016
PBONN_00164	K09965
PBONN_00168	K01640
PBONN_00169	K12972
PBONN_00171	K07002
PBONN_00172	K02048
PBONN_00173	K01012
PBONN_00174	K01935
PBONN_00175	K00652
PBONN_00176	K00833
PBONN_00185	K19048
PBONN_00186	K19048
PBONN_00192	K15125
PBONN_00193	K07172
PBONN_00196	K03446
PBONN_00198	K06911
PBONN_00200	K02463
PBONN_00201	K02462
PBONN_00202	K02461
PBONN_00203	K02460
PBONN_00204	K02459
PBONN_00205	K02458
