PHAYL_00001	K02313
PHAYL_00003	K02338
PHAYL_00004	K02470
PHAYL_00008	K07497
PHAYL_00024	K05591
PHAYL_00028	K01534
PHAYL_00029	K06942
PHAYL_00032	K18030
PHAYL_00033	K18030
PHAYL_00034	K18029
PHAYL_00035	K00459
PHAYL_00037	K03169
PHAYL_00038	K03671
PHAYL_00039	K04096
PHAYL_00040	K01462
PHAYL_00041	K00604
PHAYL_00043	K03799
PHAYL_00044	K03500
PHAYL_00049	K20534
PHAYL_00054	K00375
PHAYL_00055	K03852
PHAYL_00056	K00625
PHAYL_00057	K21309
PHAYL_00058	K21308
PHAYL_00059	K21307
PHAYL_00060	K11735
PHAYL_00063	K06920
PHAYL_00064	K10026
PHAYL_00065	K01737
PHAYL_00066	K05837
PHAYL_00067	K05515
PHAYL_00068	K03571
PHAYL_00069	K03570
PHAYL_00070	K03569
PHAYL_00071	K02435
PHAYL_00072	K02433
PHAYL_00073	K02434
PHAYL_00075	K01142
PHAYL_00076	K08218
PHAYL_00078	K00641
PHAYL_00080	K05501
PHAYL_00081	K07025
PHAYL_00082	K00930
PHAYL_00084	K15011
PHAYL_00085	K15012
PHAYL_00086	K03667
PHAYL_00087	K01419
PHAYL_00088	K06204
PHAYL_00090	K06969
PHAYL_00091	K03733
PHAYL_00092	K09921
PHAYL_00093	K01778
PHAYL_00094	K02517
PHAYL_00095	K00789
PHAYL_00098	K00477
PHAYL_00104	K07402
PHAYL_00105	K03294
PHAYL_00106	K07689
PHAYL_00108	K00528
PHAYL_00111	K01338
PHAYL_00114	K03762
PHAYL_00115	K01426
PHAYL_00116	K01061
PHAYL_00117	K00459
PHAYL_00118	K01999
PHAYL_00119	K10277
PHAYL_00123	K07226
PHAYL_00124	K03746
PHAYL_00127	K01069
PHAYL_00128	K03642
PHAYL_00129	K07056
PHAYL_00131	K03271
PHAYL_00133	K08738
PHAYL_00141	K03201
PHAYL_00151	K01126
PHAYL_00152	K06020
PHAYL_00153	K01262
PHAYL_00156	K02492
PHAYL_00157	K02835
PHAYL_00158	K02493
PHAYL_00159	K07390
PHAYL_00160	K03186
PHAYL_00161	K15777
PHAYL_00163	K03704
PHAYL_00164	K04046
PHAYL_00175	K09941
PHAYL_00181	K14347
PHAYL_00183	K00847
PHAYL_00184	K01501
PHAYL_00186	K23356
PHAYL_00187	K06201
PHAYL_00188	K24163
PHAYL_00189	K09016
PHAYL_00195	K07025
PHAYL_00202	K01640
PHAYL_00203	K12972
PHAYL_00205	K07002
PHAYL_00206	K02048
PHAYL_00207	K01012
PHAYL_00208	K01935
PHAYL_00209	K00652
PHAYL_00210	K00833
PHAYL_00213	K03446
PHAYL_00215	K02463
PHAYL_00216	K02462
PHAYL_00217	K02461
PHAYL_00218	K02460
PHAYL_00220	K02459
PHAYL_00221	K02458
PHAYL_00222	K02457
PHAYL_00223	K02456
PHAYL_00224	K02452
PHAYL_00225	K02455
PHAYL_00226	K02454
PHAYL_00227	K02453
PHAYL_00230	K03530
PHAYL_00231	K15461
PHAYL_00233	K06048
PHAYL_00235	K01951
PHAYL_00237	K07117
PHAYL_00238	K07649
PHAYL_00239	K02483
PHAYL_00240	K01724
PHAYL_00241	K00500
PHAYL_00242	K03719
PHAYL_00247	K00108
PHAYL_00248	K01995
PHAYL_00249	K01996
PHAYL_00250	K01999
PHAYL_00251	K01997
PHAYL_00252	K01998
PHAYL_00253	K01999
PHAYL_00254	K01997
PHAYL_00255	K01995
PHAYL_00255	K01998
PHAYL_00256	K01996
PHAYL_00257	K03495
PHAYL_00258	K03501
PHAYL_00259	K03496
PHAYL_00260	K03497
PHAYL_00262	K02116
PHAYL_00263	K02108
PHAYL_00264	K02110
PHAYL_00265	K02109
PHAYL_00266	K02113
PHAYL_00267	K02111
PHAYL_00268	K02115
PHAYL_00269	K02112
PHAYL_00270	K02114
PHAYL_00271	K00666
PHAYL_00272	K01713
PHAYL_00273	K01599
PHAYL_00274	K04066
PHAYL_00276	K13821
PHAYL_00277	K01999
PHAYL_00281	K01652
PHAYL_00282	K01752
PHAYL_00284	K00281
PHAYL_00285	K02437
PHAYL_00286	K00605
PHAYL_00288	K03656
PHAYL_00297	K11004
PHAYL_00298	K11003
PHAYL_00299	K12340
PHAYL_00302	K07497
PHAYL_00311	K20941
PHAYL_00315	K07404
PHAYL_00316	K09667
PHAYL_00317	K09667
PHAYL_00318	K09667
PHAYL_00320	K02407
PHAYL_00321	K02406
PHAYL_00322	K02970
PHAYL_00324	K01246
PHAYL_00325	K18676
PHAYL_00327	K06188
PHAYL_00328	K03746
PHAYL_00329	K02403
PHAYL_00330	K02556
PHAYL_00331	K02557
PHAYL_00332	K03413
PHAYL_00333	K03407
PHAYL_00334	K03408
PHAYL_00335	K00575
PHAYL_00336	K03411
PHAYL_00337	K03412
PHAYL_00338	K03413
PHAYL_00339	K03414
PHAYL_00347	K02401
PHAYL_00348	K02400
PHAYL_00349	K02404
PHAYL_00350	K04562
PHAYL_00351	K02405
PHAYL_00353	K02399
PHAYL_00354	K02398
PHAYL_00355	K02386
PHAYL_00356	K02387
PHAYL_00357	K02388
PHAYL_00358	K02389
PHAYL_00359	K02390
PHAYL_00360	K02391
PHAYL_00361	K02392
PHAYL_00362	K02393
PHAYL_00363	K02394
PHAYL_00364	K02395
PHAYL_00366	K02396
PHAYL_00367	K02397
PHAYL_00368	K02421
PHAYL_00369	K02420
PHAYL_00370	K02419
PHAYL_00371	K02418
PHAYL_00372	K02417
PHAYL_00373	K02416
PHAYL_00374	K02415
PHAYL_00375	K02414
PHAYL_00376	K02413
PHAYL_00377	K02412
PHAYL_00378	K02411
PHAYL_00379	K02410
PHAYL_00380	K02409
PHAYL_00382	K02408
PHAYL_00383	K02422
PHAYL_00384	K02423
PHAYL_00386	K04061
PHAYL_00387	K00154
PHAYL_00388	K09456
PHAYL_00390	K01251
PHAYL_00391	K08972
PHAYL_00392	K00297
PHAYL_00393	K12368
PHAYL_00394	K12369
PHAYL_00395	K12370
PHAYL_00396	K12371
PHAYL_00397	K12372
PHAYL_00398	K09973
PHAYL_00400	K23124
PHAYL_00401	K23123
PHAYL_00404	K01934
PHAYL_00405	K08309
PHAYL_00406	K00799
PHAYL_00407	K00974
PHAYL_00411	K01633
PHAYL_00412	K14058
PHAYL_00413	K04042
PHAYL_00414	K00820
PHAYL_00428	K07483
PHAYL_00429	K07497
PHAYL_00431	K07497
PHAYL_00436	K07497
PHAYL_00438	K07497
PHAYL_00443	K01674
PHAYL_00446	K00145
PHAYL_00448	K07687
PHAYL_00449	K00762
PHAYL_00450	K00029
PHAYL_00451	K04090
PHAYL_00452	K00457
PHAYL_00453	K03719
PHAYL_00457	K02613
PHAYL_00458	K02612
PHAYL_00459	K02611
PHAYL_00460	K02610
PHAYL_00461	K02609
PHAYL_00471	K02358
PHAYL_00473	K03073
PHAYL_00474	K02601
PHAYL_00475	K02867
PHAYL_00476	K02863
PHAYL_00477	K02864
PHAYL_00478	K02935
PHAYL_00479	K03043
PHAYL_00480	K03046
PHAYL_00481	K03654
PHAYL_00482	K02950
PHAYL_00483	K02992
PHAYL_00484	K02355
PHAYL_00485	K02358
PHAYL_00486	K02946
PHAYL_00487	K02906
PHAYL_00488	K02926
PHAYL_00489	K02892
PHAYL_00490	K02886
PHAYL_00491	K02965
PHAYL_00492	K02890
PHAYL_00493	K02982
PHAYL_00494	K02878
PHAYL_00495	K02904
PHAYL_00496	K02961
PHAYL_00497	K02874
PHAYL_00498	K02895
PHAYL_00499	K02931
PHAYL_00500	K02954
PHAYL_00501	K02994
PHAYL_00502	K02933
PHAYL_00503	K02881
PHAYL_00504	K02988
PHAYL_00505	K02907
PHAYL_00506	K02876
PHAYL_00507	K03076
PHAYL_00508	K02952
PHAYL_00509	K02948
PHAYL_00510	K02986
PHAYL_00511	K03040
PHAYL_00512	K02879
PHAYL_00513	K03926
PHAYL_00514	K04084
PHAYL_00515	K01698
PHAYL_00516	K03978
PHAYL_00518	K07399
PHAYL_00520	K07147
PHAYL_00521	K17247
PHAYL_00522	K01586
PHAYL_00523	K06202
PHAYL_00524	K05366
PHAYL_00525	K02662
PHAYL_00528	K02666
PHAYL_00529	K00891
PHAYL_00530	K01735
PHAYL_00531	K01129
PHAYL_00533	K07275
PHAYL_00534	K07491
PHAYL_00535	K00265
PHAYL_00536	K00266
PHAYL_00540	K02471
PHAYL_00542	K03153
PHAYL_00543	K03154
PHAYL_00544	K03149
PHAYL_00545	K00788
PHAYL_00546	K02065
PHAYL_00547	K02066
PHAYL_00548	K02067
PHAYL_00549	K04754
PHAYL_00550	K07323
PHAYL_00551	K07122
PHAYL_00552	K01990
PHAYL_00553	K01992
PHAYL_00555	K00790
PHAYL_00556	K00765
PHAYL_00557	K00013
PHAYL_00558	K00817
PHAYL_00559	K01693
PHAYL_00560	K02501
PHAYL_00561	K01814
PHAYL_00562	K02500
PHAYL_00563	K01496
PHAYL_00564	K01523
PHAYL_00566	K02503
PHAYL_00567	K03116
PHAYL_00568	K03117
PHAYL_00569	K03118
PHAYL_00570	K04772
PHAYL_00572	K00411
PHAYL_00573	K00412
PHAYL_00574	K00413
PHAYL_00575	K03599
PHAYL_00576	K03600
PHAYL_00578	K18800
PHAYL_00579	K03981
PHAYL_00581	K01118
PHAYL_00582	K03648
PHAYL_00583	K18446
PHAYL_00584	K01609
PHAYL_00585	K00766
PHAYL_00586	K01658
PHAYL_00589	K01657
PHAYL_00590	K01091
PHAYL_00591	K01783
PHAYL_00592	K06195
PHAYL_00594	K08304
PHAYL_00595	K01912
PHAYL_00596	K15866
PHAYL_00598	K01692
PHAYL_00605	K01897
PHAYL_00607	K06134
PHAYL_00608	K03925
PHAYL_00609	K03438
PHAYL_00610	K03586
PHAYL_00611	K03587
PHAYL_00612	K01928
PHAYL_00613	K01929
PHAYL_00614	K01000
PHAYL_00615	K01925
