PFUNG_00005	K06916
PFUNG_00006	K00382
PFUNG_00007	K00658
PFUNG_00008	K00164
PFUNG_00009	K06207
PFUNG_00012	K03543
PFUNG_00013	K03446
PFUNG_00014	K03177
PFUNG_00015	K02834
PFUNG_00016	K02519
PFUNG_00017	K02600
PFUNG_00018	K09748
PFUNG_00019	K06178
PFUNG_00020	K06024
PFUNG_00031	K15034
PFUNG_00033	K03581
PFUNG_00034	K03582
PFUNG_00035	K03583
PFUNG_00038	K05800
PFUNG_00040	K22044
PFUNG_00041	K07118
PFUNG_00044	K05520
PFUNG_00047	K03320
PFUNG_00048	K06199
PFUNG_00051	K22622
PFUNG_00052	K17225
PFUNG_00053	K02051
PFUNG_00054	K02049
PFUNG_00055	K02050
PFUNG_00056	K22879
PFUNG_00058	K02055
PFUNG_00059	K02052
PFUNG_00060	K02053
PFUNG_00060	K02054
PFUNG_00061	K01714
PFUNG_00062	K02624
PFUNG_00063	K15054
PFUNG_00064	K15553
PFUNG_00065	K15554
PFUNG_00066	K15554
PFUNG_00067	K15555
PFUNG_00068	K24116
PFUNG_00069	K22303
PFUNG_00071	K17228
PFUNG_00073	K02035
PFUNG_00075	K02073
PFUNG_00076	K02031
PFUNG_00076	K02032
PFUNG_00077	K02034
PFUNG_00078	K02033
PFUNG_00079	K02035
PFUNG_00080	K02035
PFUNG_00084	K04078
PFUNG_00085	K04077
PFUNG_00088	K24116
PFUNG_00091	K14445
PFUNG_00092	K03710
PFUNG_00094	K03710
PFUNG_00097	K02051
PFUNG_00098	K02050
PFUNG_00099	K02049
PFUNG_00102	K11717
PFUNG_00105	K00640
PFUNG_00108	K03929
PFUNG_00111	K08195
PFUNG_00113	K10221
PFUNG_00116	K02355
PFUNG_00117	K01867
PFUNG_00123	K09780
PFUNG_00124	K04098
PFUNG_00125	K00217
PFUNG_00126	K00128
PFUNG_00131	K10680
PFUNG_00132	K07506
PFUNG_00135	K13993
PFUNG_00136	K03696
PFUNG_00138	K00384
PFUNG_00144	K07799
PFUNG_00145	K07788
PFUNG_00146	K07789
PFUNG_00149	K03564
PFUNG_00154	K01574
PFUNG_00155	K10013
PFUNG_00157	K00799
PFUNG_00158	K05526
PFUNG_00159	K01484
PFUNG_00160	K06447
PFUNG_00161	K00673
PFUNG_00162	K00673
PFUNG_00163	K00840
PFUNG_00164	K21825
PFUNG_00165	K10017
PFUNG_00166	K10015
PFUNG_00167	K10016
PFUNG_00168	K07001
PFUNG_00171	K15553
PFUNG_00175	K15553
PFUNG_00177	K04091
PFUNG_00181	K00975
PFUNG_00182	K00703
PFUNG_00183	K00868
PFUNG_00185	K01999
PFUNG_00187	K07506
PFUNG_00191	K01458
PFUNG_00192	K05603
PFUNG_00193	K01468
PFUNG_00194	K09975
PFUNG_00195	K01712
PFUNG_00196	K05836
PFUNG_00197	K01745
PFUNG_00200	K14052
PFUNG_00201	K18540
PFUNG_00207	K06901
PFUNG_00210	K03762
PFUNG_00211	K01451
PFUNG_00212	K14057
PFUNG_00215	K00128
PFUNG_00216	K06995
PFUNG_00219	K21703
PFUNG_00220	K03885
PFUNG_00221	K05596
PFUNG_00222	K06895
PFUNG_00224	K03367
PFUNG_00225	K14188
PFUNG_00226	K19294
PFUNG_00227	K19295
PFUNG_00228	K19295
PFUNG_00229	K19296
PFUNG_00230	K11739
PFUNG_00231	K11740
PFUNG_00233	K01791
PFUNG_00235	K02049
PFUNG_00236	K02050
PFUNG_00238	K02051
PFUNG_00239	K18336
PFUNG_00241	K01714
PFUNG_00249	K03293
PFUNG_00250	K01556
PFUNG_00251	K03392
PFUNG_00252	K00452
PFUNG_00253	K15067
PFUNG_00254	K01617
PFUNG_00255	K01666
PFUNG_00256	K04073
PFUNG_00257	K02554
PFUNG_00258	K10217
PFUNG_00264	K11939
PFUNG_00265	K01790
PFUNG_00269	K02483
PFUNG_00276	K02483
PFUNG_00278	K02483
PFUNG_00280	K18138
PFUNG_00281	K03825
PFUNG_00282	K03825
PFUNG_00285	K13896
PFUNG_00286	K13895
PFUNG_00287	K13894
PFUNG_00288	K13893
PFUNG_00289	K02014
PFUNG_00292	K03559
PFUNG_00293	K03559
PFUNG_00294	K03561
PFUNG_00295	K03832
PFUNG_00296	K03701
PFUNG_00297	K01779
PFUNG_00300	K00249
PFUNG_00304	K00059
PFUNG_00307	K08995
PFUNG_00308	K03415
PFUNG_00314	K07006
PFUNG_00318	K01799
PFUNG_00319	K00285
PFUNG_00320	K01999
PFUNG_00321	K01997
PFUNG_00322	K01995
PFUNG_00322	K01998
PFUNG_00323	K01996
PFUNG_00328	K11904
PFUNG_00333	K14393
PFUNG_00335	K01895
PFUNG_00339	K03224
PFUNG_00340	K03230
PFUNG_00341	K03229
PFUNG_00342	K03228
PFUNG_00343	K03227
PFUNG_00344	K03226
PFUNG_00345	K03225
PFUNG_00348	K03222
PFUNG_00354	K03219
PFUNG_00359	K01676
PFUNG_00360	K03594
PFUNG_00361	K01776
PFUNG_00362	K02192
PFUNG_00363	K03832
PFUNG_00364	K03561
PFUNG_00365	K03559
PFUNG_00368	K06911
PFUNG_00369	K07397
PFUNG_00373	K07243
PFUNG_00375	K07230
PFUNG_00376	K03702
PFUNG_00377	K00832
PFUNG_00378	K07001
PFUNG_00379	K00019
PFUNG_00381	K07115
PFUNG_00384	K19591
PFUNG_00385	K07213
PFUNG_00386	K00789
PFUNG_00387	K14162
PFUNG_00388	K14161
PFUNG_00401	K09861
PFUNG_00403	K14287
PFUNG_00404	K00799
PFUNG_00405	K00074
PFUNG_00406	K15866
PFUNG_00409	K00249
PFUNG_00410	K11209
PFUNG_00418	K01515
PFUNG_00420	K00343
PFUNG_00421	K00342
PFUNG_00422	K00341
PFUNG_00423	K00340
PFUNG_00424	K00339
PFUNG_00425	K00338
PFUNG_00426	K00337
PFUNG_00427	K00336
PFUNG_00428	K00335
PFUNG_00429	K00334
PFUNG_00430	K00333
PFUNG_00431	K00332
PFUNG_00432	K00331
PFUNG_00433	K00330
PFUNG_00435	K03075
PFUNG_00436	K01803
PFUNG_00437	K00344
PFUNG_00438	K00962
PFUNG_00439	K02956
PFUNG_00440	K01999
PFUNG_00442	K01673
PFUNG_00444	K01649
PFUNG_00445	K17103
PFUNG_00446	K01613
PFUNG_00447	K00053
PFUNG_00448	K01653
PFUNG_00449	K01652
PFUNG_00456	K00901
PFUNG_00462	K06886
PFUNG_00463	K02004
PFUNG_00465	K11741
PFUNG_00466	K07667
PFUNG_00467	K07646
PFUNG_00468	K01548
PFUNG_00469	K01547
PFUNG_00470	K01546
PFUNG_00473	K00344
PFUNG_00474	K01734
PFUNG_00475	K00059
PFUNG_00476	K00761
PFUNG_00479	K01945
PFUNG_00480	K00228
PFUNG_00481	K00969
PFUNG_00482	K09710
PFUNG_00483	K00783
PFUNG_00484	K06287
PFUNG_00485	K08301
PFUNG_00489	K03442
PFUNG_00491	K08968
PFUNG_00492	K02019
PFUNG_00494	K04750
PFUNG_00501	K03554
PFUNG_00505	K02847
PFUNG_00507	K11085
PFUNG_00508	K12984
PFUNG_00509	K02337
PFUNG_00510	K07146
PFUNG_00511	K01894
PFUNG_00512	K11927
PFUNG_00514	K01652
PFUNG_00517	K08289
PFUNG_00519	K03466
PFUNG_00520	K07404
PFUNG_00524	K05973
PFUNG_00526	K03616
PFUNG_00527	K10773
PFUNG_00532	K09989
PFUNG_00533	K05782
PFUNG_00534	K00616
PFUNG_00535	K04750
PFUNG_00537	K03307
PFUNG_00541	K03181
PFUNG_00544	K04079
PFUNG_00547	K05825
PFUNG_00551	K07240
PFUNG_00553	K02621
PFUNG_00554	K02622
PFUNG_00555	K15738
PFUNG_00560	K03746
PFUNG_00566	K07733
PFUNG_00572	K02456
PFUNG_00574	K03497
PFUNG_00581	K09968
PFUNG_00583	K07126
PFUNG_00590	K14060
PFUNG_00622	K18831
PFUNG_00623	K19166
PFUNG_00624	K11209
PFUNG_00628	K00558
PFUNG_00629	K07458
PFUNG_00631	K08169
PFUNG_00632	K00697
PFUNG_00641	K02049
PFUNG_00642	K02050
PFUNG_00645	K07638
PFUNG_00646	K07659
PFUNG_00647	K06006
PFUNG_00648	K06911
PFUNG_00650	K10016
PFUNG_00651	K10015
PFUNG_00652	K10017
PFUNG_00654	K04751
PFUNG_00655	K01950
PFUNG_00656	K09919
PFUNG_00657	K07461
PFUNG_00659	K01507
PFUNG_00660	K00128
PFUNG_00661	K00059
PFUNG_00663	K02498
PFUNG_00664	K13543
PFUNG_00665	K01749
PFUNG_00666	K01595
PFUNG_00669	K01755
PFUNG_00671	K03832
PFUNG_00675	K02841
PFUNG_00679	K03608
PFUNG_00680	K03609
PFUNG_00681	K03610
PFUNG_00683	K01265
PFUNG_00685	K00574
PFUNG_00686	K09701
PFUNG_00687	K06954
PFUNG_00689	K01875
PFUNG_00690	K07478
PFUNG_00691	K03457
PFUNG_00692	K12255
PFUNG_00693	K21699
PFUNG_00694	K03634
PFUNG_00695	K03466
PFUNG_00696	K00384
PFUNG_00699	K02407
PFUNG_00700	K00799
PFUNG_00701	K18900
PFUNG_00702	K10112
PFUNG_00703	K17317
PFUNG_00704	K17316
PFUNG_00705	K17315
PFUNG_00706	K00036
PFUNG_00707	K01057
PFUNG_00708	K00845
PFUNG_00709	K08994
PFUNG_00711	K01584
PFUNG_00712	K01494
PFUNG_00713	K04565
PFUNG_00714	K03593
PFUNG_00716	K01874
PFUNG_00717	K09800
PFUNG_00718	K07278
PFUNG_00720	K05896
PFUNG_00721	K01918
PFUNG_00722	K01579
PFUNG_00723	K03496
PFUNG_00724	K19222
PFUNG_00725	K15977
PFUNG_00726	K02232
PFUNG_00727	K02231
PFUNG_00728	K02227
PFUNG_00729	K02225
PFUNG_00730	K02016
PFUNG_00732	K02226
PFUNG_00733	K02233
PFUNG_00734	K00768
PFUNG_00735	K02013
PFUNG_00736	K02015
PFUNG_00740	K09888
PFUNG_00743	K13292
PFUNG_00745	K01687
PFUNG_00746	K08738
PFUNG_00748	K02339
PFUNG_00749	K01255
PFUNG_00750	K07091
PFUNG_00751	K11720
PFUNG_00752	K03795
PFUNG_00754	K02303
PFUNG_00755	K00956
PFUNG_00756	K00957
PFUNG_00757	K00390
PFUNG_00759	K00381
PFUNG_00760	K13634
PFUNG_00761	K01999
PFUNG_00762	K03585
PFUNG_00768	K10439
PFUNG_00769	K10440
PFUNG_00770	K10441
PFUNG_00771	K05499
PFUNG_00772	K00573
PFUNG_00774	K12340
PFUNG_00780	K11959
PFUNG_00781	K11960
PFUNG_00782	K11961
PFUNG_00783	K11962
PFUNG_00784	K11963
PFUNG_00785	K03190
PFUNG_00786	K14645
PFUNG_00788	K02030
PFUNG_00789	K01430
PFUNG_00790	K01429
PFUNG_00791	K01428
PFUNG_00792	K03187
PFUNG_00793	K03188
PFUNG_00794	K03189
PFUNG_00795	K02527
PFUNG_00797	K02841
PFUNG_00798	K15778
PFUNG_00802	K01784
PFUNG_00806	K16695
PFUNG_00807	K16692
PFUNG_00808	K21000
PFUNG_00814	K05874
PFUNG_00817	K00820
PFUNG_00821	K01784
PFUNG_00823	K21014
PFUNG_00827	K09691
PFUNG_00828	K09690
PFUNG_00829	K06320
PFUNG_00833	K00721
PFUNG_00835	K19294
PFUNG_00836	K19295
PFUNG_00837	K12990
PFUNG_00838	K00067
PFUNG_00839	K01790
PFUNG_00840	K00973
PFUNG_00841	K01710
PFUNG_00842	K22252
PFUNG_00843	K01525
PFUNG_00844	K00655
PFUNG_00845	K01465
PFUNG_00846	K00609
PFUNG_00847	K02825
PFUNG_00848	K07447
