query id	besthit id	norm LPI	pct id	pct coverage	evalue	species	query annotation	besthit annotation
PAGRI_00009	WP_039515514.1	0.632	36.1	84	4.90E-28	Pectobacterium brasiliense	hypothetical protein	hypothetical protein [Pectobacterium brasiliense]KHS74020.1 hypothetical protei
PAGRI_00010	WP_156167967.1	0.767	82	100	2.60E-126	Vogesella sp. EB	hypothetical protein	hypothetical protein [Vogesella sp. EB]
PAGRI_00011	WP_106706740.1	0.767	80.5	100	2.80E-175	Nitrosomonas sp. APG5	Mrr restriction system protein	restriction endonuclease [Nitrosomonas sp. APG5]PSJ17496.1 restriction endonucl
PAGRI_00056	WP_184601706.1	0.632	35.3	104	5.50E-30	Rhodanobacter sp. MP1X3	hypothetical protein	hypothetical protein [Rhodanobacter sp. MP1X3]MBB6242449.1 hypothetical protein
PAGRI_00703	WP_133322326.1	0.632	37.5	76	9.60E-19	Luteimonas aestuarii	hypothetical protein	hypothetical protein [Luteimonas aestuarii]TDK23073.1 hypothetical protein E2F4
PAGRI_00706	OQX20210.1	0.676	41.3	101	1.60E-65	Desulfobacteraceae bacterium IS3	hypothetical protein	hypothetical protein BWK80_35995 [Desulfobacteraceae bacterium IS3]
PAGRI_00721	WP_134055683.1	0.631	53.6	99	1.80E-99	Rheinheimera aquimaris	hypothetical protein	hypothetical protein [Rheinheimera aquimaris]
PAGRI_00725	WP_140712169.1	0.632	67.1	99	2.30E-112	Mesorhizobium sp. B2-7-3	hypothetical protein	hypothetical protein [Mesorhizobium sp. B2-7-3]TPJ20227.1 hypothetical protein 
PAGRI_00726	WP_140048026.1	0.631	53.6	101	4.40E-47	Sphingomonas japonica	hypothetical protein	hypothetical protein [Sphingomonas japonica]NIJ22825.1 hypothetical protein [Sp
PAGRI_00763	WP_045002236.1	0.632	50.6	92	9.60E-124	Bradyrhizobium sp. LTSP857	C4-dicarboxylate transporter DctA	cation:dicarboxylase symporter family transporter [Bradyrhizobium sp. LTSP857]K
PAGRI_00765	WP_194462269.1	0.632	83.1	99	6.90E-155	Bradyrhizobium sp. CCBAU 53340	AraC family transcriptional regulator	helix-turn-helix domain-containing protein [Bradyrhizobium sp. CCBAU 53340]QOZ4
PAGRI_00766	WP_106943218.1	0.632	81.9	99	0.00E+00	Bradyrhizobium sp. MOS002	Fumonisin B1 esterase	carboxylesterase family protein [Bradyrhizobium sp. MOS002]PSO31272.1 carboxyle
PAGRI_00964	WP_106707641.1	0.767	93.2	100	1.40E-35	Nitrosomonas sp. APG5	50S ribosomal protein L32	50S ribosomal protein L32 [Nitrosomonas sp. APG5]PSJ16575.1 50S ribosomal prote
PAGRI_01175	WP_159910928.1	0.632	48.1	77	4.70E-16	Pantoea sp. 18069	hypothetical protein	hypothetical protein [Pantoea sp. 18069]
PAGRI_01186	WP_188794051.1	0.632	53.1	86	1.60E-17	Dyella nitratireducens	hypothetical protein	unnamed protein product
PAGRI_01191	WP_152740301.1	0.633	81.8	99	2.80E-304	Pseudomonas sp. MWU12-2323	type VI secretion system protein TssC-5	type VI secretion system contractile sheath large subunit [Pseudomonas sp. MWU12
PAGRI_01201	WP_173966611.1	0.421	39	89	2.30E-56	Flavobacterium collinsii	Tol-Pal system protein TolB	PD40 domain-containing protein [Flavobacterium collinsii]CAA9199321.1 Tol-Pal s
PAGRI_01372	PCE26854.1	0.633	78.7	100	7.00E-169	Pseudomonas acidophila	LysR family transcriptional regulator	LysR family transcriptional regulator [Pseudomonas acidophila]
PAGRI_01374	PCE26852.1	0.633	84	100	0.00E+00	Pseudomonas acidophila	penicillin amidase	hypothetical protein BWP39_08680 [Pseudomonas acidophila]
PAGRI_01383	WP_188695441.1	0.767	82.5	89	1.6e-311	Silvimonas amylolytica	hypothetical protein	hypothetical protein [Silvimonas amylolytica]GGP27134.1 hypothetical protein GC
PAGRI_01414	WP_050320422.1	0.632	36.8	87	3.10E-25	Yersinia pseudotuberculosis	BpaE	YadA-like family protein [Yersinia pseudotuberculosis]CNC91080.1 hemagglutinati
PAGRI_01559	TDU70223.1	0.631	27.9	71	7.20E-15	Labrenzia sp. PT13C1	hypothetical protein	hypothetical protein C7965_2280 [Labrenzia sp. PT13C1]
PAGRI_01672	WP_149336359.1	0.606	72	100	9.00E-171	Neorhizobium sp. P12A	potassium channel subunit	aldo/keto reductase [Neorhizobium sp. P12A]KAA0701248.1 aldo/keto reductase [Ne
PAGRI_01674	WP_116271427.1	0.488	74	97	1.60E-264	Frankia sp. BMG5.36	phenylacetaldehyde dehydrogenase	aldehyde dehydrogenase [Frankia sp. BMG5.36]
PAGRI_01675	WP_184605232.1	0.632	71.5	100	4.70E-126	Rhodanobacter sp. MP1X3	short chain dehydrogenase	SDR family oxidoreductase [Rhodanobacter sp. MP1X3]MBB6244928.1 NAD(P)-dependen
PAGRI_01677	TLY58948.1	0.842	77.3	93	3.00E-64	Gammaproteobacteria bacterium	hypothetical protein	DUF2255 family protein [Gammaproteobacteria bacterium]
PAGRI_01678	PYM88869.1	0.562	63	91	8.20E-64	Candidatus Rokubacteria bacterium	hypothetical protein	cupin domain-containing protein [Candidatus Rokubacteria bacterium]
PAGRI_01731	WP_195881570.1	0.633	88.9	100	3.20E-194	Pseudomonas mendocina	LysR family transcriptional regulator	LysR family transcriptional regulator [Pseudomonas mendocina]MBF8160906.1 LysR 
PAGRI_01732	WP_166182349.1	0.632	77.7	100	1.30E-165	Leclercia sp. 29361	putative protein	alpha/beta fold hydrolase [Leclercia sp. 29361]QIK13781.1 alpha/beta hydrolase 
PAGRI_01753	WP_098065080.1	0.632	81	100	3.60E-205	Salmonella enterica	"4,5:9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase"	alpha/beta hydrolase [Salmonella enterica]EBK1875190.1 alpha/beta hydrolase [Sa
PAGRI_01958	BAA75212.1	0.632	96.9	100	7.60E-63	Frateuria sp. ANA-18	muconolactone delta-isomerase	muconolactone isomerase [Frateuria sp. ANA-18]
PAGRI_01959	BAA75213.1	0.632	96.6	94	5.30E-226	Frateuria sp. ANA-18	cytochrome P450	electron transfer protein [Frateuria sp. ANA-18]
PAGRI_02010	WP_192155702.1	0.632	78.4	99	3.60E-73	Rhodanobacter sp. 7MK24	hypothetical protein	hypothetical protein [Rhodanobacter sp. 7MK24]MBD8879920.1 hypothetical protein
PAGRI_02043	TMH76014.1	0.842	76.9	96	3.90E-175	Betaproteobacteria bacterium	hydrolase	alpha/beta hydrolase [Betaproteobacteria bacterium]
PAGRI_02064	WP_158157669.1	0.633	64.9	99	5.40E-85	Pseudomonas fluorescens	TetR family transcriptional regulator	TetR family transcriptional regulator C-terminal domain-containing protein [Pseu
PAGRI_02067	WP_044873009.1	0.633	53.5	98	1.20E-107	Pseudomonas sp. LFM046	hypothetical protein	LysR family transcriptional regulator [Pseudomonas sp. LFM046]
PAGRI_02068	KAB0494748.1	0.633	86.7	95	2.00E-261	Pseudomonas vancouverensis	hypothetical protein	Rieske 2Fe-2S domain-containing protein [Pseudomonas vancouverensis]TDB59414.1 
PAGRI_02069	WP_166363329.1	0.633	85.6	100	0.00E+00	Pseudomonas sp. PS24	3-oxosteroid 1-dehydrogenase	FAD-dependent oxidoreductase [Pseudomonas sp. PS24]
PAGRI_02070	WP_084421540.1	0.631	42.7	93	2.40E-93	Henriciella litoralis	Rieske iron-sulfur domain-containing protein	Rieske 2Fe-2S domain-containing protein [Henriciella litoralis]
PAGRI_02082	WP_020518925.1	0.488	48.1	92	8.50E-105	Catelliglobosispora koreensis	hypothetical protein	family 16 glycosylhydrolase [Catelliglobosispora koreensis]
PAGRI_02105	BCG94930.1	0.632	84	100	8.90E-74	Mesorhizobium sp. 131-2-1	Putative aminoacrylate peracid reductase RutC	enamine deaminase RidA [Mesorhizobium sp. 131-2-1]
PAGRI_02107	WP_100944174.1	0.633	64.5	91	2.30E-78	Pseudomonas sp. QS1027	hypothetical protein	hypothetical protein [Pseudomonas sp. QS1027]
PAGRI_02371	WP_004999817.1	0.631	51.3	91	3.00E-287	Nitrococcus mobilis	Aculeacin-A acylase	penicillin acylase family protein [Nitrococcus mobilis]EAR21801.1 probable acul
PAGRI_02475	TWB98415.1	0.632	47.8	95	3.10E-70	Bradyrhizobium macuxiense	hypothetical protein	carbon-monoxide dehydrogenase medium subunit [Bradyrhizobium macuxiense]
PAGRI_02513	WP_173764529.1	0.767	87.9	99	0.00E+00	Azoarcus sp. M9-3-2	methylmalonic acid semialdehyde dehydrogenase	CoA-acylating methylmalonate-semialdehyde dehydrogenase [Azoarcus sp. M9-3-2]QI
PAGRI_02547	WP_149253116.1	0.632	84.5	100	1.50E-191	Labrys sp. KNU-23	sugar ABC transporter membrane protein	ribose ABC transporter permease [Labrys sp. KNU-23]QEN88902.1 ribose ABC transp
PAGRI_02548	WP_068292626.1	0.632	87.3	100	0.00E+00	Labrys sp. WJW	sugar ABC transporter ATP-binding protein	sugar ABC transporter ATP-binding protein [Labrys sp. WJW]OCC02498.1 D-xylose A
PAGRI_02549	WP_187829544.1	0.632	80.2	98	4.10E-290	Labrys sp. KNU-23	mannitol dehydrogenase	mannitol dehydrogenase family protein [Labrys sp. KNU-23]
PAGRI_02550	WP_158817687.1	0.632	83.1	100	4.60E-189	Methylocapsa sp. S129	"sugar ABC transport system, lipoprotein"	substrate-binding domain-containing protein [Methylocapsa sp. S129]
PAGRI_02551	WP_158817686.1	0.632	76.4	99	1.70E-179	Methylocapsa sp. S129	ribose operon repressorsubstrate-binding domain-containing protein [Methylocapsa sp. S129]	
PAGRI_02555	QKJ88714.1	0.678	74.3	99	3.80E-234	Erwiniaceae bacterium PD-1	major facilitator transporter	MFS transporter [Erwiniaceae bacterium PD-1]
PAGRI_02645	PCE26441.1	0.633	91.9	100	3.20E-286	Pseudomonas acidophila	sensor kinase	histidine kinase [Pseudomonas acidophila]
PAGRI_02646	PCE26440.1	0.633	96.9	100	9.70E-151	Pseudomonas acidophila	response regulator protein	DNA-binding response regulator [Pseudomonas acidophila]
PAGRI_02647	PCE26439.1	0.633	94.7	100	1.70E-288	Pseudomonas acidophila	citrate-proton symporteMFS transporter [Pseudomonas acidophila]	
