PXENO_00001	K00865
PXENO_00007	K02291
PXENO_00010	K07659
PXENO_00011	K07638
PXENO_00012	K24126
PXENO_00013	K04756
PXENO_00014	K01770
PXENO_00015	K00991
PXENO_00016	K03723
PXENO_00017	K01438
PXENO_00018	K01754
PXENO_00019	K03282
PXENO_00025	K07290
PXENO_00026	K02068
PXENO_00027	K02069
PXENO_00032	K01971
PXENO_00033	K10979
PXENO_00035	K01079
PXENO_00038	K01760
PXENO_00040	K00626
PXENO_00041	K00874
PXENO_00042	K14441
PXENO_00043	K05541
PXENO_00046	K00023
PXENO_00047	K00626
PXENO_00048	K03821
PXENO_00049	K05810
PXENO_00050	K06180
PXENO_00051	K05807
PXENO_00052	K03215
PXENO_00053	K07501
PXENO_00054	K03087
PXENO_00055	K06194
PXENO_00056	K00573
PXENO_00057	K03787
PXENO_00058	K00344
PXENO_00059	K02050
PXENO_00060	K02049
PXENO_00061	K02051
PXENO_00063	K06187
PXENO_00064	K09747
PXENO_00065	K02343
PXENO_00066	K03671
PXENO_00067	K03628
PXENO_00070	K09933
PXENO_00071	K02909
PXENO_00073	K03327
PXENO_00074	K01607
PXENO_00076	K02237
PXENO_00078	K03695
PXENO_00079	K13771
PXENO_00080	K06886
PXENO_00081	K03635
PXENO_00082	K03636
PXENO_00083	K03750
PXENO_00084	K01733
PXENO_00085	K00003
PXENO_00086	K14260
PXENO_00090	K07806
PXENO_00091	K10012
PXENO_00092	K00604
PXENO_00093	K10011
PXENO_00094	K13014
PXENO_00095	K03564
PXENO_00096	K07175
PXENO_00099	K03306
PXENO_00100	K07220
PXENO_00102	K07733
PXENO_00114	K07484
PXENO_00115	K07484
PXENO_00116	K07483
PXENO_00120	K00799
PXENO_00124	K00101
PXENO_00126	K04496
PXENO_00127	K02028
PXENO_00128	K02029
PXENO_00129	K02029
PXENO_00130	K02030
PXENO_00136	K14060
PXENO_00145	K02314
PXENO_00146	K02939
PXENO_00147	K02963
PXENO_00148	K02686
PXENO_00149	K02990
PXENO_00153	K01608
PXENO_00154	K01816
PXENO_00155	K00042
PXENO_00157	K01424
PXENO_00158	K13635
PXENO_00159	K02045
PXENO_00160	K02047
PXENO_00161	K02046
PXENO_00162	K23163
PXENO_00163	K01356
PXENO_00167	K09695
PXENO_00168	K09694
PXENO_00171	K09954
PXENO_00173	K00860
PXENO_00176	K05539
PXENO_00185	K15555
PXENO_00186	K15554
PXENO_00187	K04091
PXENO_00189	K01692
PXENO_00196	K03297
PXENO_00200	K00684
PXENO_00201	K21420
PXENO_00202	K00254
PXENO_00203	K02424
PXENO_00204	K10009
PXENO_00205	K03100
PXENO_00209	K16011
PXENO_00219	K02348
PXENO_00221	K00249
PXENO_00224	K01192
PXENO_00226	K03606
PXENO_00229	K16692
PXENO_00230	K18831
PXENO_00231	K19166
PXENO_00234	K01807
PXENO_00235	K03218
PXENO_00236	K12573
PXENO_00244	K07497
PXENO_00246	K07483
PXENO_00247	K07484
PXENO_00248	K07484
PXENO_00249	K07486
PXENO_00255	K03657
PXENO_00256	K07459
PXENO_00266	K03497
PXENO_00272	K13993
PXENO_00273	K13993
PXENO_00274	K13993
PXENO_00282	K07483
PXENO_00283	K07484
PXENO_00284	K07484
PXENO_00285	K03746
PXENO_00289	K03704
PXENO_00292	K05524
PXENO_00294	K13993
PXENO_00295	K13993
PXENO_00296	K13993
PXENO_00304	K04077
PXENO_00305	K04078
PXENO_00307	K13993
PXENO_00308	K13993
PXENO_00315	K23775
PXENO_00316	K08195
PXENO_00318	K00450
PXENO_00319	K16165
PXENO_00320	K01800
PXENO_00323	K14189
PXENO_00325	K07497
PXENO_00329	K07486
PXENO_00334	K06919
PXENO_00335	K03205
PXENO_00337	K03196
PXENO_00338	K03195
PXENO_00339	K03204
PXENO_00340	K03203
PXENO_00342	K03200
PXENO_00343	K03201
PXENO_00344	K03199
PXENO_00345	K03198
PXENO_00346	K03197
PXENO_00347	K03194
PXENO_00349	K00986
PXENO_00351	K07733
PXENO_00353	K09964
PXENO_00359	K05596
PXENO_00360	K09780
PXENO_00363	K00058
PXENO_00368	K06518
PXENO_00370	K10679
PXENO_00374	K02002
PXENO_00375	K00263
PXENO_00377	K00059
PXENO_00379	K01821
PXENO_00400	K06400
PXENO_00402	K01647
PXENO_00404	K08195
PXENO_00405	K21883
PXENO_00406	K23463
PXENO_00407	K22213
PXENO_00409	K01555
PXENO_00410	K00451
PXENO_00412	K05712
PXENO_00414	K01640
PXENO_00416	K01704
PXENO_00417	K01703
PXENO_00423	K14393
PXENO_00426	K07107
PXENO_00427	K13766
PXENO_00430	K07068
PXENO_00431	K00666
PXENO_00434	K01692
PXENO_00435	K01999
PXENO_00436	K01039
PXENO_00437	K01040
PXENO_00438	K01997
PXENO_00439	K01998
PXENO_00440	K01995
PXENO_00441	K01996
PXENO_00442	K02182
PXENO_00443	K01644
PXENO_00445	K01968
PXENO_00446	K01969
PXENO_00447	K07068
PXENO_00448	K00626
PXENO_00452	K22108
PXENO_00453	K00249
PXENO_00454	K01895
PXENO_00457	K08178
PXENO_00459	K06445
PXENO_00460	K00059
PXENO_00462	K00626
PXENO_00463	K01897
PXENO_00466	K05797
PXENO_00471	K03666
PXENO_00479	K12511
PXENO_00480	K12510
PXENO_00481	K02283
PXENO_00482	K02282
PXENO_00483	K02280
PXENO_00484	K02279
PXENO_00486	K02278
PXENO_00487	K02651
PXENO_00493	K06916
PXENO_00494	K00382
PXENO_00495	K00658
PXENO_00496	K00164
PXENO_00497	K06207
PXENO_00500	K03543
PXENO_00501	K03446
PXENO_00502	K03177
PXENO_00503	K02834
PXENO_00504	K02519
PXENO_00505	K02600
PXENO_00506	K09748
PXENO_00507	K06178
PXENO_00508	K06024
PXENO_00519	K15034
PXENO_00521	K03581
PXENO_00522	K03582
PXENO_00523	K03583
PXENO_00526	K07326
PXENO_00542	K15125
PXENO_00543	K05800
PXENO_00545	K22044
PXENO_00546	K07118
PXENO_00549	K05520
PXENO_00552	K03320
PXENO_00553	K06199
PXENO_00554	K01114
PXENO_00559	K20148
PXENO_00566	K07506
PXENO_00572	K07232
PXENO_00573	K18900
PXENO_00574	K01066
PXENO_00575	K18901
PXENO_00576	K18902
PXENO_00577	K18903
PXENO_00584	K00799
PXENO_00588	K03101
PXENO_00591	K07799
PXENO_00592	K07788
PXENO_00593	K07789
PXENO_00595	K03564
PXENO_00600	K01574
PXENO_00601	K10013
PXENO_00602	K05526
PXENO_00603	K01484
PXENO_00604	K06447
PXENO_00605	K00673
PXENO_00606	K00673
PXENO_00607	K00840
PXENO_00608	K21825
PXENO_00609	K10017
PXENO_00610	K10015
PXENO_00611	K10016
PXENO_00612	K07001
PXENO_00617	K00975
PXENO_00618	K00703
PXENO_00619	K00868
PXENO_00621	K01999
PXENO_00625	K01458
PXENO_00626	K05603
PXENO_00627	K01468
PXENO_00628	K09975
PXENO_00629	K01712
PXENO_00630	K05836
PXENO_00631	K01745
PXENO_00635	K06901
PXENO_00638	K03762
PXENO_00639	K01451
PXENO_00640	K14057
PXENO_00641	K21703
PXENO_00642	K03885
PXENO_00644	K07665
PXENO_00645	K07644
PXENO_00646	K05596
PXENO_00647	K06895
PXENO_00648	K17686
PXENO_00650	K21006
PXENO_00651	K01884
PXENO_00652	K21012
PXENO_00653	K21011
PXENO_00654	K21010
PXENO_00655	K21009
PXENO_00656	K21008
PXENO_00657	K21007
PXENO_00658	K21006
PXENO_00662	K11939
PXENO_00663	K01790
PXENO_00665	K18138
PXENO_00666	K03825
PXENO_00667	K03825
PXENO_00670	K13896
PXENO_00671	K13895
PXENO_00672	K13894
PXENO_00673	K13893
PXENO_00674	K02014
PXENO_00677	K03559
PXENO_00678	K03559
PXENO_00679	K03561
PXENO_00680	K03832
PXENO_00681	K03701
PXENO_00682	K01779
PXENO_00685	K00249
PXENO_00689	K07393
PXENO_00691	K00059
PXENO_00696	K08995
PXENO_00697	K03415
PXENO_00703	K11904
PXENO_00708	K03762
PXENO_00714	K02030
PXENO_00716	K07001
PXENO_00720	K03791
PXENO_00724	K05303
PXENO_00745	K21511
PXENO_00786	K03497
